1,4471.5400,0.5300,2383.7800,2087.7600,1.7900,0.5900
0,35416.5900,0.7000,24809.3200,10607.2700,29.0100,0.0000
0,387947.1600,0.8700,338445.1000,49502.0600,267.7700,0.0200
1,4883.1000,0.7700,3736.5500,1146.5500,1.3500,1.7300
0,12919.2400,0.0200,200.2500,12718.9900,8.6100,0.0000
0,360608.1700,0.9600,346832.9400,13775.2300,154.3000,0.0000
0,174894.5500,0.9900,173303.0100,1591.5400,110.4700,0.0000
1,30120.4400,0.9100,27316.2300,2804.2100,20.0800,0.0000
0,13324.2200,0.8500,11289.6100,2034.6100,8.8800,0.0000
0,326089.6900,0.8500,277274.0600,48815.6300,217.3900,0.0300
0,61815.0300,0.2800,17468.9300,44346.1000,41.2100,0.0000
0,345961.0400,0.8900,307836.1300,38124.9100,38.7900,0.0000
1,29380.6900,0.7200,21171.7300,8208.9600,19.5900,0.0000
0,668864.0000,0.9300,624183.8800,44680.1200,122.9800,0.0100
0,19194.4800,0.2600,4917.6300,14276.8500,2.3300,0.3800
0,10864435.4900,1.0000,10864435.4900,0.0000,7242.9600,0.0000
0,3799.4100,0.0000,0.0000,3799.4100,2.5300,0.0000
1,29208.3100,0.0000,0.0000,29208.3100,11.6600,0.6900
0,2288771.1200,0.7900,1804696.0300,484075.0900,2836.1500,0.0000
0,115511.8700,0.2400,27595.7900,87916.0800,56.9200,0.0000
0,581340.0000,0.8700,503440.4400,77899.5600,179.9700,0.0200
1,45875.6600,0.4700,21529.4500,24346.2100,5.9200,0.4300
0,191550.8000,0.9600,184425.1100,7125.6900,127.7000,0.0200
0,30794.7600,0.5000,15246.4900,15548.2700,20.5300,0.0000
1,17299.1800,0.5200,8960.9800,8338.2000,12.3800,0.3600
1,31452.2600,0.0000,0.0000,31452.2600,20.9700,0.0000
0,197793.6700,1.0000,197793.6700,0.0000,131.8600,0.0000
0,12347.9100,0.0000,0.0000,12347.9100,4.5200,0.0000
0,472165.5400,0.9300,438452.9200,33712.6200,74.1100,0.0000
0,192233.2900,0.9800,187696.5800,4536.7100,68.2200,0.0000
1,21647.6800,0.3700,8039.9500,13607.7300,28.0000,0.4900
1,1192.0000,0.6900,827.1300,364.8700,1.0600,0.0000
0,310141.5500,0.8900,275994.9700,34146.5800,139.6600,0.0400
0,8230.0800,0.1000,783.5000,7446.5800,5.4900,0.0000
0,504686.4400,0.9100,459062.7900,45623.6500,336.4600,0.0000
0,199194.9400,0.2000,39082.0500,160112.8900,31.0700,0.2700
0,486417.6800,0.9000,437921.8400,48495.8400,95.3500,0.0300
0,180592.8400,0.5200,93944.4000,86648.4400,48.0400,0.0000
0,236268.9800,0.8100,191377.8700,44891.1100,157.5100,0.1400
0,453803.6700,0.8700,392948.6000,60855.0700,58.9900,0.0200
1,6024.5700,0.1100,654.2700,5370.3000,2.2300,0.0000
0,439753.3600,0.9500,416798.2300,22955.1300,293.1700,0.0200
1,41778.5500,0.4100,17271.2500,24507.3000,6.3400,0.0000
0,11635.1200,0.5700,6629.6900,5005.4300,3.1900,0.0000
1,22699.6400,0.7300,16470.8600,6228.7800,9.4000,0.2700
0,90116.1700,0.2100,18699.1100,71417.0600,11.1300,0.0800
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,215381.4000,0.9800,210836.8500,4544.5500,50.4500,0.1100
0,5676.1300,0.0000,0.0000,5676.1300,7.2100,0.0000
1,10212.9300,0.0900,893.6300,9319.3000,2.3800,2.5100
1,129386.2800,0.9100,118233.1800,11153.1000,48.0800,0.0400
1,3855.5300,0.0500,186.9900,3668.5400,2.5700,0.4700
0,655356.0200,0.8700,572781.1600,82574.8600,144.5700,0.0200
0,18592.1800,0.8000,14825.4000,3766.7800,12.3900,0.0500
0,25755.0000,0.2800,7087.7800,18667.2200,2.6900,0.2000
0,319675.7000,0.8900,283232.6700,36443.0300,113.3300,0.0000
0,11429.5500,0.1500,1768.1500,9661.4000,5.2300,0.0000
0,15202.9000,0.8500,12989.3600,2213.5400,10.1400,0.0400
0,24934.8800,0.9800,24396.2900,538.5900,16.6200,0.0000
0,38252.1000,0.6800,25923.4500,12328.6500,9.5700,0.1900
0,32085.2600,0.1500,4886.5900,27198.6700,9.0100,0.1500
0,47084.3700,0.0700,3342.9900,43741.3800,9.7800,0.0000
1,38483.7900,0.7900,30275.2000,8208.5900,25.6600,0.2900
0,918.0700,0.0000,0.0000,918.0700,0.6100,0.0000
1,92635.7000,0.7700,71060.8500,21574.8500,18.1900,0.0700
1,26900.1800,0.5100,13740.6100,13159.5700,13.2300,0.5100
0,318066.7400,0.9400,298314.8000,19751.9400,52.3100,0.0000
0,26894.1900,0.2000,5432.6300,21461.5600,17.9300,0.0000
0,64235.6800,0.1500,9783.0900,54452.5900,29.6200,0.2700
1,12082.3100,0.0400,441.0000,11641.3100,3.0100,1.5500
1,12941.6400,0.4500,5837.9700,7103.6700,7.5100,0.9800
0,231022.6200,0.9300,215636.5100,15386.1100,111.8500,0.0300
0,25900.5100,0.9700,25048.3800,852.1300,34.7800,0.0000
0,28517.7800,0.1600,4525.7700,23992.0100,19.0100,0.0000
1,22516.2500,0.7200,16231.9600,6284.2900,15.0100,0.0000
0,26497.2600,0.2400,6385.8400,20111.4200,6.8900,0.3400
0,6187.1000,0.0000,0.0000,6187.1000,3.9600,0.0000
0,8659.8200,0.9500,8208.6400,451.1800,5.7700,0.0000
1,4967.9600,0.0000,0.0000,4967.9600,2.4900,0.0000
0,3748.4500,0.0000,0.0000,3748.4500,1.3700,0.0000
